"","Mean","Sigma","y"
"1",NA,NA,2000
"2",NA,NA,2000
"3",2000.001,9.15746544560914,2000.87617454847
"4",2000.17623490969,9.01699950299646,2004.51957135509
"5",2001.6058539098,9.01405572816704,1999.85629431334
"6",2003.58791594674,8.37432789751882,1998.53120898191
"7",1999.59227724706,8.043376085915,2001.20117683666
"8",1999.06620255286,8.50958820369791,1999.2051508475
"9",2000.80297163883,9.28968703170766,2006.57397004152
"10",2000.67991468631,9.09589282377575,2001.458775122
"11",2005.55193105762,8.58265403913657,2008.4694536694
"12",2002.86191083148,8.36590713163374,2005.60329217603
"13",2007.89722137073,8.37773401443386,2006.21812700686
"14",2005.7272591422,8.82538654445514,2003.7461009684
"15",2005.72472179917,8.82927953051311,2000.15521495782
"16",2003.02892376629,9.27274597681591,2006.09627328024
"17",2001.3444266223,9.4528771887965,1993.68087047177
"18",2003.61419271855,9.7851619711762,2003.33524246108
"19",1995.61274486963,10.9406063115179,1998.67478565069
"20",2002.404151099,10.6611047205976,2000.85989659505
"21",1999.11280783956,9.81740117815357,2001.51458817459
"22",2000.99183491096,11.4958498588339,2000.92122407673
"23",2001.39691535502,10.5460493518247,2004.23437830981
"24",2001.58485492335,10.5000233981503,2003.32621065385
"25",2004.05374477862,10.5403749920222,2004.63197271939
"26",2003.58836306696,9.70966376640578,2001.37671973105
"27",2003.98192212173,9.32102756366626,1999.66910349058
"28",2001.03619648296,8.63164551438896,2000.30194895975
"29",1999.79667258441,8.32436846271196,1999.50199725333
"30",2000.14295861847,8.15423334142147,2001.50959381818
"31",1999.9045165663,8.07210950744434,2001.12183498676
"32",2001.4330420519,7.61073966486022,2002.75840238938
"33",2001.45014846728,7.40611376701302,2005.3638801293
"34",2003.28049793736,7.88631627673106,2008.2201723667
"35",2005.93613857678,8.48326766933713,2005.14982618292
"36",2007.60710312995,9.61381487658698,2009.01269171957
"37",2005.92339929025,9.36025912330233,2006.54495183179
"38",2008.52014374202,8.66809943092346,2009.7282501416
"39",2007.18261149375,8.10386199694155,2012.45199725998
"40",2010.27399956527,7.62385720735829,2014.04270850652
"41",2012.77113950928,7.81356124843136,2009.35539970369
"42",2013.10624674596,8.05185224746619,2011.29791483364
"43",2009.74490272968,7.86591263891921,2011.35533331292
"44",2011.3103985295,7.67216115416406,2013.90547613982
"45",2011.8663618783,8.35423155785579,2008.29739368888
"46",2012.78485964964,7.82904169190815,2010.50936184574
"47",2008.74078732026,7.74908690177995,2009.30384626215
"48",2010.26925872902,8.01236435245334,2010.48632464252
"49",2009.54134193822,8.67479100257761,2011.39856968416
"50",2010.66977365085,8.64323601812317,2010.30604109304
"51",2011.18106396594,11.287086785953,2011.70133091522
"52",2010.58609905748,10.3832562905289,2011.16213863155
"53",2011.59449245848,10.7270773009049,2009.48029759674
